緯度	経度	チェーンID	チェーン	名称	住所	TEL	営業時間	定休日	URL	駐車場	取扱	備考
35.8155298	139.151974	shopping/conveni/seven	セブンイレブン	奥多摩古里	東京都西多摩郡奥多摩町小丹波33	0428-85-1670	24時間営業		http://www.e-map.ne.jp/p/711map/dtl/198284/?&p_s1=40000		ATM お酒 たばこ 揚げ物惣菜 ドーナツ セブンカフェ セブンミール マルチコピー機 セブンスポット（無料WiFi）	
35.7280285	139.205062	shopping/conveni/seven	セブンイレブン	あきる野戸倉	東京都あきる野市戸倉183	042-588-5091	24時間営業		http://www.e-map.ne.jp/p/711map/dtl/095064/?&p_s1=40000		ATM お酒 たばこ 揚げ物惣菜 ドーナツ セブンカフェ セブンミール マルチコピー機 セブンスポット（無料WiFi）	
35.7973071	139.213731	shopping/conveni/seven	セブンイレブン	青梅柚木	東京都青梅市柚木町1ー148ー2	0428-76-0435	24時間営業		http://www.e-map.ne.jp/p/711map/dtl/079770/?&p_s1=40000		ATM お酒 たばこ 揚げ物惣菜 ドーナツ セブンカフェ セブンミール マルチコピー機 セブンスポット（無料WiFi）	
35.8014876	139.218697	shopping/conveni/seven	セブンイレブン	青梅二俣尾	東京都青梅市二俣尾3-913-1	0428-78-8962	24時間営業		http://www.e-map.ne.jp/p/711map/dtl/845971/?&p_s1=40000		ATM お酒 たばこ 揚げ物惣菜 ドーナツ セブンカフェ セブンミール マルチコピー機 セブンスポット（無料WiFi）	
35.7322316	139.229255	shopping/conveni/seven	セブンイレブン	武蔵五日市駅前	東京都あきる野市舘谷225-1	042-596-2575	24時間営業		http://www.e-map.ne.jp/p/711map/dtl/326731/?&p_s1=40000		ATM お酒 たばこ 揚げ物惣菜 ドーナツ セブンカフェ セブンミール マルチコピー機 セブンスポット（無料WiFi）	
35.7840063	139.232399	shopping/conveni/seven	セブンイレブン	青梅日向和田3丁目	東京都青梅市日向和田3丁目566	0428-25-1020	24時間営業		http://www.e-map.ne.jp/p/711map/dtl/357386/?&p_s1=40000		ATM お酒 たばこ 揚げ物惣菜 ドーナツ セブンカフェ セブンミール マルチコピー機 セブンスポット（無料WiFi）	
35.7448584	139.237537	shopping/conveni/seven	セブンイレブン	日の出大久野	東京都西多摩郡日の出町大久野1100-1	042-597-5771	24時間営業		http://www.e-map.ne.jp/p/711map/dtl/332682/?&p_s1=40000		ATM お酒 たばこ 揚げ物惣菜 ドーナツ セブンカフェ セブンミール マルチコピー機 セブンスポット（無料WiFi）	
35.7815795	139.239904	shopping/conveni/seven	セブンイレブン	青梅畑中3丁目	東京都青梅市畑中3-515-1	0428-85-8117	24時間営業		http://www.e-map.ne.jp/p/711map/dtl/217053/?&p_s1=40000		ATM お酒 たばこ 揚げ物惣菜 ドーナツ セブンカフェ セブンミール マルチコピー機 セブンスポット（無料WiFi）	
35.7270745	139.2562	shopping/conveni/seven	セブンイレブン	あきる野増戸	東京都あきる野市山田553-1	042-596-4119	24時間営業		http://www.e-map.ne.jp/p/711map/dtl/165586/?&p_s1=40000		ATM お酒 たばこ ドーナツ セブンカフェ セブンミール マルチコピー機 セブンスポット（無料WiFi）	
35.7326848	139.255591	shopping/conveni/seven	セブンイレブン	あきる野伊奈	東京都あきる野市伊奈490	042-595-1515	24時間営業		http://www.e-map.ne.jp/p/711map/dtl/283937/?&p_s1=40000		ATM お酒 たばこ 揚げ物惣菜 ドーナツ セブンカフェ セブンミール マルチコピー機 セブンスポット（無料WiFi）	
35.7416118	139.255369	shopping/conveni/seven	セブンイレブン	日の出西平井	東京都西多摩郡日の出町大字平井字狩宿2535-1	042-597-7671	24時間営業		http://www.e-map.ne.jp/p/711map/dtl/242980/?&p_s1=40000		ATM お酒 ドーナツ セブンカフェ セブンミール マルチコピー機 セブンスポット（無料WiFi）	
35.6772763	139.256896	shopping/conveni/seven	セブンイレブン	八王子繊維工業団地	東京都八王子市下恩方町1185ー1	042-652-0507	24時間営業		http://www.e-map.ne.jp/p/711map/dtl/100486/?&p_s1=40000		ATM お酒 たばこ 揚げ物惣菜 ドーナツ セブンカフェ セブンミール マルチコピー機 セブンスポット（無料WiFi）	
35.7257166	139.263174	shopping/conveni/seven	セブンイレブン	あきる野山田	東京都あきる野市山田758番地	042-595-3700	24時間営業		http://www.e-map.ne.jp/p/711map/dtl/156995/?&p_s1=40000		ATM お酒 たばこ 揚げ物惣菜 ドーナツ セブンカフェ セブンミール マルチコピー機 セブンスポット（無料WiFi）	
35.7864429	139.260116	shopping/conveni/seven	セブンイレブン	青梅千ケ瀬6丁目	東京都青梅市千ケ瀬町6丁目805	0428-25-3031	24時間営業		http://www.e-map.ne.jp/p/711map/dtl/335344/?&p_s1=40000		ATM お酒 たばこ 揚げ物惣菜 ドーナツ セブンカフェ セブンミール マルチコピー機 セブンスポット（無料WiFi）	
35.7901814	139.257838	shopping/conveni/seven	セブンイレブン	青梅駅前	東京都青梅市本町131ー26	0428-25-1855	24時間営業		http://www.e-map.ne.jp/p/711map/dtl/102522/?&p_s1=40000		ATM お酒 たばこ 揚げ物惣菜 ドーナツ セブンカフェ セブンミール マルチコピー機 セブンスポット（無料WiFi）	
35.6352251	139.270367	shopping/conveni/seven	セブンイレブン	高尾山インター	東京都八王子市高尾町1806-1	042-666-3286	24時間営業		http://www.e-map.ne.jp/p/711map/dtl/451978/?&p_s1=40000		ATM お酒 たばこ 揚げ物惣菜 ドーナツ セブンカフェ セブンミール マルチコピー機 セブンスポット（無料WiFi）	
